"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,874
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,875
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,897
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,898
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,900
 80,3600,12,"STEM-Related","Yes","Online","3", 0.50858195,-0.90528822,-0.02553579, 1.27683485,903
 40,3900,12,"Governance","Yes","Online","3", 0.39486888, 0.06718305, 0.49294832,-1.31901169,904
 78,2800, 4,"Finance","Yes","Online","2",-2.72260131, 1.40793660,-1.56776818, 3.59209785,911
 30,4500,10,"Governance","Yes","Online","3", 0.40170376, 0.48077579, 0.58758302,-1.29815554,916
 50,1950, 4,"Finance","Yes","Online","2",-3.61092665, 1.95806025,-1.96259667, 2.72412152,917
 80,1599,12,"Marketing","Yes","Online","3",-0.67179743,-0.98781213,-0.74855896, 0.02262023,919
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,926
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,928
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,929
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,930
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,937
 50,2600, 4,"Finance","Yes","Online","2",-3.13539313, 1.96065505,-1.59602285, 2.83898771,941
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,942
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,943
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,946
 60,3699,12,"Marketing","Yes","Online","3", 0.67420319,-0.58405976, 0.49614024,-0.11896410,947
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,948
 40,2500,12,"Marketing","Yes","Online","3",-0.39331170,-0.19347699,-0.11966370,-0.84353854,951
